GMT_Time,Open,High,Low,Close,Volume
04.05.2003 21:00:00.000,1.12354,1.12354,1.12166,1.12274,95533.0976
05.05.2003 01:00:00.000,1.12242,1.12276,1.12067,1.12126,93778.5996
05.05.2003 05:00:00.000,1.12139,1.12255,1.1203,1.12113,90924.6992
05.05.2003 09:00:00.000,1.12092,1.12331,1.12049,1.12174,91254.6992
05.05.2003 13:00:00.000,1.12194,1.129,1.1213,1.12712,308003.4083
05.05.2003 17:00:00.000,1.12718,1.13019,1.12657,1.12804,373668.293
05.05.2003 21:00:00.000,1.12798,1.13004,1.12772,1.12913,94283.7988
06.05.2003 01:00:00.000,1.12892,1.12967,1.12743,1.12855,95461.998
06.05.2003 05:00:00.000,1.12856,1.13412,1.12738,1.13381,92809.0996
06.05.2003 09:00:00.000,1.13383,1.13662,1.13188,1.13456,90255.7988
06.05.2003 13:00:00.000,1.13444,1.13646,1.13113,1.13515,310697.3984
06.05.2003 17:00:00.000,1.1354,1.1451,1.13358,1.14368,377614.6055
06.05.2003 21:00:00.000,1.14367,1.14448,1.1417,1.14274,93442.5
07.05.2003 01:00:00.000,1.14195,1.14274,1.14015,1.14191,95787.1972
07.05.2003 05:00:00.000,1.1417,1.14333,1.13902,1.13995,91030.6992
07.05.2003 09:00:00.000,1.13956,1.14258,1.13774,1.14164,89548.7012
07.05.2003 13:00:00.000,1.1415,1.14317,1.13275,1.13381,310747.6954
07.05.2003 17:00:00.000,1.13368,1.13777,1.13345,1.13677,376239.7969
07.05.2003 21:00:00.000,1.13675,1.13758,1.13418,1.13607,92655.1992
08.05.2003 01:00:00.000,1.13529,1.13623,1.13169,1.1321,98309.7012
08.05.2003 05:00:00.000,1.13155,1.13412,1.13026,1.13312,89533.6016
08.05.2003 09:00:00.000,1.13341,1.14342,1.13236,1.14334,91527.1992
08.05.2003 13:00:00.000,1.14336,1.14855,1.1424,1.1454,313726.1035
08.05.2003 17:00:00.000,1.14547,1.15092,1.14514,1.15026,373156.8946
08.05.2003 21:00:00.000,1.15002,1.15364,1.14732,1.15164,95166
09.05.2003 01:00:00.000,1.1518,1.15376,1.14828,1.15215,95812.002
09.05.2003 05:00:00.000,1.15195,1.15275,1.14769,1.15142,89085.0996
09.05.2003 09:00:00.000,1.1512,1.15335,1.14766,1.14825,92310.0976
09.05.2003 13:00:00.000,1.14835,1.15101,1.14362,1.14952,314008.8008
09.05.2003 17:00:00.000,1.14963,1.15015,1.14786,1.14907,377607
11.05.2003 21:00:00.000,1.14958,1.15751,1.14946,1.15536,93730.4004
12.05.2003 01:00:00.000,1.15548,1.15848,1.15494,1.15733,95754.8984
12.05.2003 05:00:00.000,1.15706,1.161,1.15545,1.16077,89432.2012
12.05.2003 09:00:00.000,1.16041,1.16244,1.15666,1.15876,90150.8008
12.05.2003 13:00:00.000,1.15848,1.16066,1.15362,1.15553,309338.7969
12.05.2003 17:00:00.000,1.1557,1.1573,1.15377,1.15457,378108.6992
12.05.2003 21:00:00.000,1.15427,1.15751,1.15101,1.1515,95618.9004
13.05.2003 01:00:00.000,1.15121,1.15193,1.1463,1.14968,96293.7012
13.05.2003 05:00:00.000,1.14979,1.15558,1.1474,1.14958,88351.498
13.05.2003 09:00:00.000,1.14973,1.15318,1.14916,1.15263,92453.4004
13.05.2003 13:00:00.000,1.15264,1.15546,1.14882,1.15002,311556.6992
13.05.2003 17:00:00.000,1.14997,1.15389,1.1497,1.1515,373457.1954
13.05.2003 21:00:00.000,1.1519,1.15388,1.15119,1.15216,92544.9004
14.05.2003 01:00:00.000,1.1516,1.1523,1.1487,1.15113,96381.1992
14.05.2003 05:00:00.000,1.15126,1.1527,1.14681,1.15223,90219.6016
14.05.2003 09:00:00.000,1.15241,1.15336,1.14761,1.14919,90573.7012
14.05.2003 13:00:00.000,1.14941,1.15182,1.14726,1.14972,310483.1035
14.05.2003 17:00:00.000,1.14993,1.15277,1.14921,1.1497,373698.8047
14.05.2003 21:00:00.000,1.14983,1.14988,1.14681,1.14713,92479.4004
15.05.2003 01:00:00.000,1.14727,1.1488,1.1421,1.14456,93187.1992
15.05.2003 05:00:00.000,1.14444,1.14643,1.14263,1.14583,90667.498
